street,city,neighborhood,address_area,address_neighborhood
טשרניחובסקי,נתניה,מרכז העיר דרום,,
יחזקאל בן בוזי,נתניה,"רמת ידין, דורה",נתניה והסביבה,"רמת ידין, דורה"
"אצ""ל",נתניה,רמת אפרים,,
דב הוז,נתניה,נאות הרצל,,
ועידת הלסינקי,נתניה,"רמת ידין, דורה",,
"ד""ר תיאודור וייסלברגר",נתניה,קרית נורדאו,נתניה והסביבה,קרית נורדאו
פרופסור ברודצקי,נתניה,מרכז העיר דרום,,
י.ל. פרץ,נתניה,קרית נורדאו,נתניה והסביבה,קרית נורדאו
כפר אוריה,נתניה,נוף הטיילת,,
שלום עליכם,נתניה,קרית נורדאו,,
אהרון אהרונסון,נתניה,רמת אפרים,נתניה והסביבה,רמת אפרים
שמורת נחל ערוגות,נתניה,אגמים,נתניה והסביבה,אגמים
השר ישראל בר יהודה,נתניה,קרית נורדאו,,
דודו דותן,נתניה,עיר ימים,,
יאנוש קורצ'אק,נתניה,קרית נורדאו,,
סביון,נתניה,רמת פולג,,
היהלומן אברהמס,נתניה,נוף הטיילת,נתניה והסביבה,נוף הטיילת
סמילנסקי,נתניה,מרכז העיר דרום,,
שרת,נתניה,צפון מזרח מרכז העיר,נתניה והסביבה,צפון מזרח מרכז העיר
ישראל זנגוויל,נתניה,צפון מזרח מרכז העיר,נתניה והסביבה,צפון מזרח מרכז העיר
הברבור,נתניה,קרית רבין,,
אלקלעי,נתניה,נאות הרצל,נתניה והסביבה,נאות הרצל
ברוך רם,נתניה,נוף הטיילת,,
עולש מצוי,נתניה,רמת פולג,,
השיזף,נתניה,קרית השרון,,
"רמב""ם",נתניה,רמת חן - בן ציון,נתניה והסביבה,רמת חן - בן ציון
נעמן בלקינד,נתניה,נאות הרצל,נתניה והסביבה,נאות הרצל
יצחק קצנלסון,נתניה,קרית נורדאו,,
"ד""ר אמיל זומרשטיין",נתניה,צפון מערב מרכז העיר,נתניה והסביבה,צפון מערב מרכז העיר
חטיבת גבעתי,נתניה,"גלי ים, נוף הטיילת, נוה עוז",נתניה והסביבה,"גלי ים, נוף הטיילת, נוה עוז"
אנדריוס,נתניה,צפון מערב מרכז העיר,נתניה והסביבה,צפון מערב מרכז העיר
פרופסור שור,נתניה,נאות הרצל,נתניה והסביבה,נאות הרצל
שלום שבזי,נתניה,רמת חן - בן ציון,,
חיבת ציון,נתניה,מרכז העיר דרום,נתניה והסביבה,מרכז העיר דרום
הרב מ. נורוק,נתניה,צפון מערב מרכז העיר,,
האחווה,נתניה,נוף הטיילת,,
הנורית,נתניה,רמת פולג,נתניה והסביבה,רמת פולג
מנחם סבידור,נתניה,רמת פולג,,
"ש""י עגנון",נתניה,קרית נורדאו,,
בני ברמן,נתניה,עיר ימים,,
שבט,נתניה,קרית השרון,,
חבצלת החוף,נתניה,גבעת האירוסים,נתניה והסביבה,גבעת האירוסים
שדרות ירושלים,נתניה,מרכז העיר דרום,נתניה והסביבה,מרכז העיר דרום
נחום סוקולוב,נתניה,צפון מערב מרכז העיר,,
התאנה,נתניה,עין התכלת,,
לוי אשכול,נתניה,נאות שקד,,
קהילת צפת,נתניה,"גלי ים, נוף הטיילת, נוה עוז",,
הרב ריינס,נתניה,נאות הרצל,,
מנחם בגין,נתניה,רמת פולג,,
שמואל הנציב,נתניה,צפון מערב מרכז העיר,נתניה והסביבה,צפון מערב מרכז העיר
נאות התכלת,נתניה,קרית צאנז,נתניה והסביבה,קרית צאנז
אייר,נתניה,קרית השרון,,
השר בכור שטרית,נתניה,קרית נורדאו,,
התנועה הציונית,נתניה,פרדס הגדוד,,
"ד""ר חיים בן עמר",נתניה,פרדס הגדוד,,
שער הגיא,נתניה,מרכז העיר דרום,נתניה והסביבה,מרכז העיר דרום
פרופס,נתניה,מרכז העיר דרום,,
"ד""ר סטופ",נתניה,נאות שקד,נתניה והסביבה,נאות שקד
תאשור,נתניה,קרית השרון,,
אליעזר בן יהודה,נתניה,מרכז העיר דרום,,
תשרי,נתניה,קרית השרון,,
לילינבלום,נתניה,מרכז העיר דרום,נתניה והסביבה,מרכז העיר דרום
נתן יונתן,נתניה,עיר ימים,,
"ניל""י",נתניה,רמת אפרים,,
שדרות עובד בן עמי,נתניה,"גלי ים, נוף הטיילת, נוה עוז",נתניה והסביבה,"גלי ים, נוף הטיילת, נוה עוז"
שדרות בן גוריון,נתניה,"גלי ים, נוף הטיילת, נוה עוז",,
החשמונאים,נתניה,צפון מזרח מרכז העיר,נתניה והסביבה,צפון מזרח מרכז העיר
משה הס,נתניה,מרכז העיר דרום,,
מקדונלד,נתניה,צפון מערב מרכז העיר,,
פקאן,נתיבות,נוה נוי,,
אשכולית,נתיבות,נוה נוי,,
"האר""י",נתיבות,קרית משה,הנגב המערבי,קרית משה
הזית,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
אחת עשרה הנקודות,נתיבות,שאר העיר,הנגב המערבי,שאר העיר
"פלמ""ח",נתיבות,קרית מנחם בגין,,
תפוז,נתיבות,נוה נוי,באר שבע והסביבה,נוה נוי
אור לציון,נתיבות,נטעים,באר שבע והסביבה,נטעים
גני טל,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
אלי כהן,נתיבות,ברית כהונה,באר שבע והסביבה,ברית כהונה
אגס,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
נווה דקלים,נתיבות,נתיבות מערב,באר שבע והסביבה,נתיבות מערב
שלום דנינו,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
התאנה,נתיבות,קרית מנחם בגין,,
שירת הים,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
שבטי ישראל,נתיבות,בבא סאלי,הנגב המערבי,בבא סאלי
קידה,נתיבות,החורש,ישובי הנגב,החורש
אריאל שרון,נתיבות,שאר העיר,,
נחל חבר,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
מעפיל,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
שלום בונייך,נתיבות,בבא סאלי,הנגב המערבי,בבא סאלי
ניסנית,נתיבות,נתיבות מערב,באר שבע והסביבה,נתיבות מערב
קטיף,נתיבות,נתיבות מערב,ישובי הנגב,נתיבות מערב
כפר דרום,נתיבות,נתיבות מערב,,
נצר חזני,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
עלייה,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
עינב,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
חיל שריון,נתיבות,נטעים,הנגב המערבי,נטעים
גן אור,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
חרצית,נתיבות,נוה נוי,ישובי הנגב,נוה נוי
אפרסמון,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
רפיח ים,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
בן איש חי,נתיבות,בבא סאלי,הנגב המערבי,בבא סאלי
נצרים,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
חיל הנדסה,נתיבות,נטעים,,
המשחררים,נתיבות,קרית מנחם בגין,,
תקומה,נתיבות,קרית מנחם בגין,,
הרב מזוז,נתיבות,נטעים,הנגב המערבי,נטעים
הרב מסעוד אלפסי,נתיבות,ברית כהונה,ישובי הנגב,ברית כהונה
חיל הים,נתיבות,נטעים,,
הצאלה,נתיבות,קרית מנחם בגין,,
יובל,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
הקטיף,נתיבות,אזור תעשיה,הנגב המערבי,אזור תעשיה
רקפת,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
הדס,נתיבות,נוה נוי,,
כלנית,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
קטלב,נתיבות,החורש,,
אלה,נתיבות,החורש,הנגב המערבי,החורש
"החיד""א",נתיבות,קרית משה,הנגב המערבי,קרית משה
שליו,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
ז'בוטינסקי,נתיבות,בבא סאלי,,
נעמי שמר,נתיבות,שאר העיר,,
לימון,נתיבות,נוה נוי,,
מלכי ישראל,נתיבות,בבא סאלי,הנגב המערבי,בבא סאלי
קהילת יעקב,נתיבות,נטעים,הנגב המערבי,נטעים
אתרוג,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
הרימון,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
ורדימון,נתיבות,לוי אשכול,באר שבע והסביבה,לוי אשכול
הרב צבאן,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
חיל תותחנים,נתיבות,נטעים,הנגב המערבי,נטעים
אלי סיני,נתיבות,נתיבות מערב,הנגב המערבי,נתיבות מערב
קורין,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
נרקיס,נתיבות,נוה נוי,הנגב המערבי,נוה נוי
הרב שפירא,נתיבות,ברית כהונה,,
בר אילן,נתיבות,שאר העיר,הנגב המערבי,שאר העיר
הרב חזני,נתיבות,בבא סאלי,הנגב המערבי,בבא סאלי
שדרות וייצמן,נתיבות,קרית משה,,
הרב גרשונוביץ',נתיבות,בבא סאלי,ישובי הנגב,בבא סאלי
סביון,נתיבות,נוה נוי,,
ילדי אוסלו,נתיבות,ברית כהונה,הנגב המערבי,ברית כהונה
הגנה,נתיבות,קרית מנחם בגין,הנגב המערבי,קרית מנחם בגין
מבצע קדש,נתיבות,קרית משה,באר שבע והסביבה,קרית משה
שדרות ירושלים,נתיבות,קרית משה,,
"חזון אי""ש",נתיבות,ברית כהונה,,
אברהם רוזנמן,נתיבות,שאר העיר,,
יצחק שמיר,נתיבות,שאר העיר,הנגב המערבי,שאר העיר
הרב אבן דנן,נתיבות,ברית כהונה,,
החצב,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
הצבעוני,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
יפה נוף,נשר,גבעת נשר,,
פרץ,נשר,תל חנן,חיפה והסביבה,תל חנן
נתיב הים,נשר,בן דור,,
המייסדים,נשר,גבעת נשר,,
הסביון,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
סמטת התמר,נשר,רמות יצחק,,
התאנה,נשר,שאר העיר,,
דרך הטכניון,נשר,בן דור,,
ההשכלה,נשר,גבעת נשר,,
השיקמה,נשר,רמות יצחק,,
נתיב הטרשים,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
הערבה,נשר,רמות יצחק,,
האלון,נשר,רמות יצחק,,
חבצלת,נשר,רמות יצחק,,
קיבוץ גלויות,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
הרדוף,נשר,רמות יצחק,,
המורן,נשר,רמות יצחק,קריות והסביבה,רמות יצחק
עמוס,נשר,גבעת עמוס,,
השיטה,נשר,רמות יצחק,,
האשל,נשר,רמות יצחק,,
נתיב הארזים,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
יסמין,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
נחשון,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
הורדים,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
הנוריות,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
קרן היסוד,נשר,תל חנן,,
הלוטם,נשר,רמות יצחק,,
האילנות,נשר,גבעת נשר,,
דוכיפת,נשר,רמות יצחק,,
האורן,נשר,רמות יצחק,,
מעלה הגיבורים,נשר,בן דור,,
הלילך,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
דרך בר יהודה,נשר,אזור תעשיה,חיפה והסביבה,אזור תעשיה
הרקפות,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
העלייה,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
העמק,נשר,גבעת עמוס,חיפה והסביבה,גבעת עמוס
שביל הטף,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
המגינים,נשר,גבעת נשר,,
אופקים,נשר,גבעת עמוס,,
דרך השלום,נשר,תל חנן,חיפה והסביבה,תל חנן
ששת הימים,נשר,רמות יצחק,,
התשבי,נשר,גבעת נשר,חיפה והסביבה,גבעת נשר
המעפילים,נשר,גבעת נשר,קריות והסביבה,גבעת נשר
כליל החורש,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
השזיף,נשר,רמות יצחק,,
"צה""ל",נשר,גבעת עמוס,חיפה והסביבה,גבעת עמוס
הזית,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
אורח חיים,נשר,גבעת נשר,,
המתמיד,נשר,בן דור,חיפה והסביבה,בן דור
צבר,נשר,תל חנן,,
המרגנית,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
מרדכי בר מוחא,נשר,תל חנן,,
השושנים,נשר,רמות יצחק,קריות והסביבה,רמות יצחק
התפוז,נשר,רמות יצחק,,
הערמונים,נשר,רמות יצחק,חיפה והסביבה,רמות יצחק
אביר יעקב,נשר,תל חנן,חיפה והסביבה,תל חנן
יעל,נשר,תל חנן,חיפה והסביבה,תל חנן
חניית פארק נשר,נשר,שאר העיר,,
אלמוג,נצרת עילית,הר יונה,,
תבור,נצרת עילית,צפונית / רסקו,,
גנות,נצרת עילית,ספיר,נצרת - שפרעם והסביבה,ספיר
ציפורן,נצרת עילית,בן גוריון,נצרת - שפרעם והסביבה,בן גוריון
גלבוע,נצרת עילית,אזור תעשיה ומלאכה א',נצרת - שפרעם והסביבה,אזור תעשיה ומלאכה א'
אשוח,נצרת עילית,הר יונה,,
שדרות השושנים,נצרת עילית,בן גוריון,נצרת - שפרעם והסביבה,בן גוריון
סביון,נצרת עילית,בן גוריון,,
שומרון,נצרת עילית,צפונית / רסקו,,
ניצנית,נצרת עילית,זאב,,
גלעד,נצרת עילית,זאב,,
רותם,נצרת עילית,הר יונה,,
יעל,נצרת עילית,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
סמטת הגומא,נצרת עילית,הר יונה,נצרת - שפרעם והסביבה,הר יונה
דרך החטיבות,נצרת עילית,בן גוריון,גליל תחתון,בן גוריון
כרמל,נצרת עילית,צפונית / רסקו,נצרת - שפרעם והסביבה,צפונית / רסקו
דרך העמק,נצרת עילית,בן גוריון,,
הפסגות,נצרת עילית,נוף יזרעאל,,
הגיא,נצרת עילית,צפונית / רסקו,,
הרב פנחס מילר,נצרת עילית,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
מדרחוב השושנים,נצרת עילית,בן גוריון,,
העלייה,נצרת עילית,דרומית,עפולה והעמקים,דרומית
דגנית,נצרת עילית,זאב,,
רימון,נצרת עילית,צפונית\\רסקו,,
חרוד,נצרת עילית,דרומית,,
אורנים,נצרת עילית,צפונית\\רסקו,,
קורנית,נצרת עילית,הר יונה,,
נרקיסים,נצרת עילית,צפונית\\רסקו,,
הצבר,נצרת עילית,צפונית\\רסקו,,
ברוש,נצרת עילית,ספיר,,
הגפן,נצרת עילית,דרומית,,
אלומה,נצרת עילית,הר יונה,,
כרכום,נצרת עילית,הר יונה,,
ירדן,נצרת עילית,זאב,נצרת - שפרעם והסביבה,זאב
קישון,נצרת עילית,צפונית / רסקו,נצרת - שפרעם והסביבה,צפונית / רסקו
תירוש,נצרת עילית,ספיר,גליל תחתון,ספיר
החצב,נצרת עילית,שלום,,
ציפורי,נצרת עילית,צפונית / רסקו,,
מירון,נצרת עילית,צפונית / רסקו,נצרת - שפרעם והסביבה,צפונית / רסקו
סיגלית,נצרת עילית,הר יונה,,
הדר,נצרת עילית,בן גוריון,נצרת - שפרעם והסביבה,בן גוריון
אגמון,נצרת עילית,הר יונה,,
יקינטון,נצרת עילית,הר יונה,נצרת - שפרעם והסביבה,הר יונה
1105,נצרת עילית,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
יודפת,נצרת עילית,צפונית / רסקו,,
שדרות מעלה יצחק,נצרת עילית,ספיר,עפולה והעמקים,ספיר
דליה,נצרת עילית,הר יונה,,
סייפן,נצרת עילית,הר יונה,נצרת - שפרעם והסביבה,הר יונה
הלולב,נצרת עילית,ספיר,,
יערה,נצרת עילית,הר יונה,,
השיקמה,נצרת עילית,אשכול,,
יסמין,נצרת עילית,נוף יזרעאל,נצרת - שפרעם והסביבה,נוף יזרעאל
חרמון,נצרת עילית,צפונית\\רסקו,,
עצמון,נצרת עילית,צפונית / רסקו,נצרת - שפרעם והסביבה,צפונית / רסקו
ארבל,נצרת עילית,צפונית / רסקו,,
שקד,נצרת עילית,ספיר,,
כליל החורש,נצרת עילית,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
החיטה,נצרת עילית,דרומית,,
חבצלת,נצרת עילית,בן גוריון,,
עטרה,נצרת עילית,הר יונה,,
יזרעאל,נצרת עילית,דרומית,נצרת - שפרעם והסביבה,דרומית
נורית,נצרת עילית,נוף יזרעאל,,
גולן,נצרת עילית,צפונית\\רסקו,,
עדעד,נצרת עילית,הר יונה,,
ורדים,נצרת עילית,פינת עדן,,
כוכבית,נצרת עילית,הר יונה,,
רח 7041,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
הגליל,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
פאולוס השישי,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
3008,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
7044,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
5043,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
3001,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
5048,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
6143,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
7028,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
7012,נצרת,שאר העיר,נצרת - שפרעם והסביבה,שאר העיר
אכסאל,נצרת,אזור תעשיה ב',נצרת - שפרעם והסביבה,אזור תעשיה ב'
מאיר הרמן,נס ציונה,יד אליעזר,,
הבנים,נס ציונה,מרכז מזרחי,,
האופק,נס ציונה,לב המושבה,,
סנונית,נס ציונה,טירת שלום,,
העומרים,נס ציונה,וואלי,,
האירוסים,נס ציונה,נוה ניר,,
ביאליק,נס ציונה,מרכז מזרחי,,
רחבעם זאבי,נס ציונה,לב המושבה,,
המייסדים,נס ציונה,טירת שלום,נס ציונה - רחובות,טירת שלום
אליהו מירון,נס ציונה,סביוני הפארק,,
"צה""ל",נס ציונה,מרכז מזרחי,,
רפאל איתן,נס ציונה,ארגמן,,
כחליל,נס ציונה,טירת שלום,,
תל אביב,נס ציונה,מרכז מערבי,נס ציונה - רחובות,מרכז מערבי
ההגנה,נס ציונה,מרכז מזרחי,נס ציונה - רחובות,מרכז מזרחי
החלוץ,נס ציונה,מרכז מזרחי,נס ציונה - רחובות,מרכז מזרחי
תבור,נס ציונה,סביוני הפארק,נס ציונה - רחובות,סביוני הפארק
"רמב""ם",נס ציונה,מרכז מזרחי,,
אבנר בן נר,נס ציונה,סביוני נצר סירני,,
431,נס ציונה,שאר העיר,,
הטייסים,נס ציונה,רמת בן צבי,נס ציונה - רחובות,רמת בן צבי
"ביל""ו",נס ציונה,נוה ניר,נס ציונה - רחובות,נוה ניר
הגיא,נס ציונה,לב המושבה,נס ציונה - רחובות,לב המושבה
חושן,נס ציונה,וילה דורי,,
אוסקר שינדלר,נס ציונה,גבעת מיכאל,,
דרך יצחק רבין,נס ציונה,מרכז מערבי,נס ציונה - רחובות,מרכז מערבי
שלום לחמי,נס ציונה,טירת שלום,נס ציונה - רחובות,טירת שלום
42,נס ציונה,שאר העיר,,
שדות,נס ציונה,לב המושבה,,
עמק השושנים,נס ציונה,מרכז מערבי,נס ציונה - רחובות,מרכז מערבי
הכרמים,נס ציונה,וואלי,,
יציאה למחלף נס ציונה,נס ציונה,שאר העיר,,
יוסף פלדמן,נס ציונה,שמורת מליבו,נס ציונה - רחובות,שמורת מליבו
לוחמי הגטאות,נס ציונה,מרכז מזרחי,,
ברקת,נס ציונה,וילה דורי,,
עלייה,נס ציונה,מרכז מזרחי,,
גאולה,נס ציונה,מרכז מזרחי,נס ציונה - רחובות,מרכז מזרחי
פלמינגו,נס ציונה,טירת שלום,,
נגבה,נס ציונה,מרכז מזרחי,,
מרגנית,נס ציונה,כפר אהרון,נס ציונה - רחובות,כפר אהרון
"פלמ""ח",נס ציונה,שאר העיר,נס ציונה - רחובות,שאר העיר
קשת,נס ציונה,לב המושבה,נס ציונה - רחובות,לב המושבה
משה לרר,נס ציונה,ארגמן,,
תל חי,נס ציונה,מרכז מזרחי,,
עצמון,נס ציונה,גני הדר,,
מכבי,נס ציונה,מרכז מערבי,,
סוקולוב,נס ציונה,מרכז מזרחי,,
הפרדסים,נס ציונה,וואלי,,
התאנה,נס ציונה,כפר אהרון הישנה,נס ציונה - רחובות,כפר אהרון הישנה
עצמאות,נס ציונה,מרכז מזרחי,,
טוקאן,נס ציונה,טירת שלום,נס ציונה - רחובות,טירת שלום
השייטת,נס ציונה,הדרי סמל,,
דרור,נס ציונה,טירת שלום,,
עונות השנה,נס ציונה,וואלי,,
ישראל היימן,נס ציונה,שמורת מליבו,,
הרצל,נס ציונה,מרכז מערבי,,
אהרון בוקסר,נס ציונה,שמורת מליבו,,
חיים טפר,נס ציונה,נוה ניר,נס ציונה - רחובות,נוה ניר
אבנר בן יהודה,נס ציונה,טירת שלום,,
נורית,נס ציונה,"גני איריס, גבעת האירוסים",נס ציונה - רחובות,"גני איריס, גבעת האירוסים"
הזמיר,נס ציונה,טירת שלום,,
ירושלים,נס ציונה,יד אליעזר,נס ציונה - רחובות,יד אליעזר
האימהות,נס ציונה,סביוני נצר סירני,נס ציונה - רחובות,סביוני נצר סירני
מרגולין,נס ציונה,מרכז מזרחי,נס ציונה - רחובות,מרכז מזרחי
זרובבל,נס ציונה,מרכז מזרחי,,
וייצמן,נס ציונה,מרכז מערבי,נס ציונה - רחובות,מרכז מערבי
שדרות המעפילים,נס ציונה,ארגמן,נס ציונה - רחובות,ארגמן
ראובן לרר,נס ציונה,מרכז מערבי,,
האביב,נס ציונה,וואלי,נס ציונה - רחובות,וואלי
אנילביץ',נס ציונה,גבעת נוף,נס ציונה - רחובות,גבעת נוף
בן גוריון,נס ציונה,שאר העיר,נס ציונה - רחובות,שאר העיר
האלופים,נס ציונה,שאר העיר,נס ציונה - רחובות,שאר העיר
גלים,נס ציונה,הדרי סמל,,
ההסתדרות,נס ציונה,רמת בן צבי,נס ציונה - רחובות,רמת בן צבי
כצנלסון,נס ציונה,שאר העיר,נס ציונה - רחובות,שאר העיר
טופז,נס ציונה,וילה דורי,נס ציונה - רחובות,וילה דורי
ארזים,נס ציונה,גבעת התור,נס ציונה - רחובות,גבעת התור
שיקמים,נס ציונה,גבעת התור,נס ציונה - רחובות,גבעת התור
השריון,נס ציונה,הדרי סמל,,
נורדאו,נס ציונה,מרכז מזרחי,נס ציונה - רחובות,מרכז מזרחי
רוטשילד,נס ציונה,מרכז מערבי,נס ציונה - רחובות,מרכז מערבי
דוד אלעזר,נס ציונה,לב המושבה,נס ציונה - רחובות,לב המושבה
העוגן,נס ציונה,נוה ניר,,
הזמיר,נהריה,נהריה הירוקה,עכו - נהריה והסביבה,נהריה הירוקה
הנגב,נהריה,יוספטל,,
שביל האשל,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
שמעון רייך,נהריה,עיר צפון,,
זמנהוף,נהריה,טרומפלדור,עכו - נהריה והסביבה,טרומפלדור
עין התכלת,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
סילבר,נהריה,עיר צפון,,
המעפילים,נהריה,עיר צפון,,
קפלן,נהריה,עיר דרום,,
מסריק,נהריה,רסקו,,
חנה סנש,נהריה,רגום,עכו - נהריה והסביבה,רגום
שביל הכרם,נהריה,ממשלתי,,
יהודה המכבי,נהריה,טרומפלדור,עכו - נהריה והסביבה,טרומפלדור
דרך סטרומה,נהריה,ממשלתי,עכו - נהריה והסביבה,ממשלתי
דרך שלמה רילף,נהריה,עין שרה,,
נחום סוקולוב,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
דוד בן גאון,נהריה,אזור תעשיה נהריה,,
שדרות הנשיא בן צבי,נהריה,קרית עשור,עכו - נהריה והסביבה,קרית עשור
מקס נורדאו,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
הרצל,נהריה,עיר צפון,,
החרמון,נהריה,אוסישקין,,
שפרינצק,נהריה,בן גוריון,עכו - נהריה והסביבה,בן גוריון
4,נהריה,שאר העיר,עכו - נהריה והסביבה,שאר העיר
נחלת אשר,נהריה,רגום,עכו - נהריה והסביבה,רגום
ההגנה,נהריה,עמידר,,
המגינים,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
נשר,נהריה,נהריה הירוקה,עכו - נהריה והסביבה,נהריה הירוקה
הגולן,נהריה,בן גוריון,,
קרן היסוד,נהריה,עיר דרום,,
ז'בוטינסקי,נהריה,עיר צפון,,
יצחק גרינבוים,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
סחלב,נהריה,עין שרה,עכו - נהריה והסביבה,עין שרה
השיקמה,נהריה,עיר דרום,,
שביל ההרדוף,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
"שדרות זלמן שז""ר",נהריה,עין שרה,עכו - נהריה והסביבה,עין שרה
אפרים שריר,נהריה,אוסישקין,,
החלוץ,נהריה,טרומפלדור,עכו - נהריה והסביבה,טרומפלדור
אחד העם,נהריה,עיר דרום,,
רבי עקיבא,נהריה,ממשלתי,עכו - נהריה והסביבה,ממשלתי
יוסף לוי,נהריה,עיר צפון,,
קרן קיימת לישראל,נהריה,רסקו,עכו - נהריה והסביבה,רסקו
מקס שטיינמץ,נהריה,עיר צפון,,
הנרייטה סולד,נהריה,עיר דרום,,
"רמב""ם",נהריה,ממשלתי,עכו - נהריה והסביבה,ממשלתי
פינסקר,נהריה,עיר צפון,,
קיבוץ גלויות,נהריה,רגום,עכו - נהריה והסביבה,רגום
הגפן,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
נר הלילה,נהריה,עין שרה,,
יבנה,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
יסמין,נהריה,עין שרה,,
דרך השיירה,נהריה,ממשלתי,עכו - נהריה והסביבה,ממשלתי
נופר,נהריה,עין שרה,עכו - נהריה והסביבה,עין שרה
תל חי,נהריה,טרומפלדור,עכו - נהריה והסביבה,טרומפלדור
שדרות הגעתון,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
השרון,נהריה,יוספטל,עכו - נהריה והסביבה,יוספטל
הסיגלית,נהריה,עין שרה,,
דרך יחיעם,נהריה,ממשלתי,עכו - נהריה והסביבה,ממשלתי
בר יהודה,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
לוטוס,נהריה,עין שרה,עכו - נהריה והסביבה,עין שרה
חניון וולפסון,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
התות,נהריה,עין שרה,עכו - נהריה והסביבה,עין שרה
סוסקין,נהריה,עיר צפון,עכו - נהריה והסביבה,עיר צפון
עמק יזרעאל,נהריה,יוספטל,,
חניתה,נהריה,עמידר,,
נחליאלי,נהריה,נהריה הירוקה,עכו - נהריה והסביבה,נהריה הירוקה
בלפור,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
שטיינהרט,נהריה,עיר דרום,,
וייצמן,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
גרניום,נהריה,עין שרה,,
גולומב,נהריה,עיר צפון,,
האזדרכת,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
העלייה,נהריה,עמידר,עכו - נהריה והסביבה,עמידר
דוד רמז,נהריה,עיר דרום,עכו - נהריה והסביבה,עיר דרום
שמריהו לוין,נהריה,עיר צפון,,
